artista,tipo,título_canción,nombre_album,año,genre
Billie Eilish,track,Everybody Dies,Happier Than Ever,2021,pop
TWICE,track,The Feels,Formula of Love: O+T=<3,2021,pop
Joyner Lucas,track,Your Heart,Your Heart,2021,pop
Stray Kids,track,"Red Lights (Bang Chan, Hyunjin)",NOEASY,2021,pop
Redferrin,track,Stuck,Stuck,2021,pop
Tones And I,track,Fly Away,Welcome To The Madhouse,2021,pop
Bruno Mars,track,Smokin Out The Window,An Evening With Silk Sonic,2021,pop
Ryan Hurd,track,Chasing After You (with Maren Morris),Chasing After You (with Maren Morris),2021,pop
Becky Hill,track,Remember (with David Guetta),Only Honest On The Weekend,2021,pop
Corey Kent,track,Ain't My Day,'21,2021,pop
Videoclub,track,Amour plastique,Euphories,2021,pop
Drake,track,Papi’s Home,Certified Lover Boy,2021,pop
Glass Animals,track,I Don't Wanna Talk (I Just Wanna Dance),Dreamland (+ Bonus Levels),2021,pop
Taylor Swift,track,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),2021,pop
Tiësto,track,Don't Be Shy,Don't Be Shy,2021,pop
Drake,track,Lemon Pepper Freestyle (feat. Rick Ross),Scary Hours 2,2021,pop
Taylor Swift,track,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
Doja Cat,track,Been Like This,Planet Her,2021,pop
Tommy James & The Shondells,track,Crimson and Clover (Single Version),Celebration: The Complete Roulette Recordings 1966-1973,2021,pop
Taylor Swift,track,The Moment I Knew (Taylor's Version),Red (Taylor's Version),2021,pop
Dua Lipa,track,We're Good,Future Nostalgia (The Moonlight Edition),2021,pop
D.O.D,track,Every Step,Every Step,2021,pop
Treaty Oak Revival,track,Tattooed Roses,No Vacancy,2021,pop
Alex Warren,track,One More I Love You,One More I Love You,2021,pop
Manuel Medrano,track,La Distancia,Eterno,2021,pop
Billie Eilish,track,OverHeated,Happier Than Ever,2021,pop
Taylor Swift,track,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021,pop
Noah Kahan,track,Caves,I Was / I Am,2021,pop
Taylor Swift,track,coney island (feat. The National),evermore (deluxe version),2021,pop
Taylor Swift,track,The Lucky One (Taylor's Version),Red (Taylor's Version),2021,pop
Hot Mulligan,track,Featuring Mark Hoppus,I Won’t Reach Out to You,2021,pop
YOASOBI,track,夜に駆ける,THE BOOK,2021,pop
BTS,track,Permission to Dance,Permission to Dance,2021,pop
Jenna Raine,track,see you later (ten years),see you later (ten years),2021,pop
Treaty Oak Revival,track,Boomtown,No Vacancy,2021,pop
